component_1,component_2,cluster_id
0.34124032,0.13261949,4
0.12009895,0.1528062,4
0.37529045,0.08017301,1
0.3740774,-0.044770833,4
0.4844878,-0.30886376,5
0.37413508,-0.08301619,4
0.33223143,-0.15241095,4
0.18808095,0.08394533,4
0.28928632,-0.14886914,1
0.23351929,-0.09481334,4
0.27098626,-0.12416525,5
0.40522307,-0.09879131,1
0.44788736,-0.21028471,1
0.34041473,-0.15120998,5
0.2810689,-0.029488314,4
0.4980049,0.12603396,1
0.40056622,-0.2679884,1
0.23219547,-0.06302626,0
0.35538736,-0.18490164,1
0.25690222,-0.021289837,0
0.48136368,-0.06776436,1
0.3415413,-0.0915593,1
0.12887046,-0.021578062,4
0.13262628,0.16328457,2
0.26163417,0.07311901,4
0.42991337,-0.24228877,5
0.38816497,-0.05098627,0
0.38114065,0.08914007,4
0.54362094,-0.3277774,5
0.45923236,-0.117020816,1
0.22884606,-0.059544448,1
0.32511163,0.24294728,0
0.24655825,-0.041947447,4
0.21551378,-0.13549209,0
0.33447644,-0.036437217,0
0.31322485,-0.056789596,0
0.31300482,-0.069166794,4
0.20084842,0.12890981,4
0.27463233,-0.082794756,4
0.23347828,0.11387637,4
0.38545173,0.025034871,1
0.44925502,-0.07942892,5
0.41987845,-0.17830583,1
0.4491073,-0.10066322,1
0.36709273,0.009990017,4
0.547429,0.17973198,4
0.45350277,0.072759286,4
0.38364136,-0.16329028,0
0.2304032,-0.104153804,5
0.27041847,-0.13267036,1
0.21896729,-0.121545315,1
0.20418169,0.24173345,4
0.33071077,-0.06356503,1
0.43411693,-0.1884275,1
0.40124932,-0.17851065,1
0.40314186,-0.12577738,1
0.2672984,-0.07901537,1
0.21320567,0.33704156,2
0.3161388,-0.15379769,0
0.39121786,-0.18162915,5
0.32571116,-0.042894065,0
0.31457263,-0.12173341,1
0.39307114,-0.15570956,0
0.34089106,0.04587055,0
0.2977752,-0.026800761,0
0.27783468,0.049071543,0
0.40751207,-0.054278187,1
0.32288298,-0.13077049,5
0.38086337,-0.14882502,0
0.28649235,-0.02851492,4
0.47178447,-0.3087166,5
0.27526563,-0.16226901,5
0.32661518,-0.07823347,5
0.39298257,-0.12372374,1
0.37584764,-0.090374894,4
0.2763859,-0.17868435,1
0.21958667,-0.07302095,0
0.33873564,-0.07665966,1
0.16108964,-0.10445253,4
0.48576504,-0.1775976,1
0.39015454,-0.010564178,1
0.43909988,-0.21335685,1
0.290886,0.07397582,1
0.18097386,-0.0109042805,4
0.33050874,-0.01906418,1
0.3730447,-0.130113,4
0.41546297,-0.21378815,1
0.4071096,0.018771071,4
0.3785985,-0.217599,0
0.19430178,-0.025463633,0
0.27544054,-0.016357526,4
0.2746021,0.038328648,1
0.28653723,-0.013793703,4
0.5111084,-0.19377117,1
0.45985565,0.18925194,4
0.17401983,0.03949728,4
0.5104508,-0.09058072,1
0.13152352,0.012525525,4
0.31706497,-0.052826367,4
0.26618817,0.08560905,1
0.16773188,-0.01111882,4
0.2142856,0.31265372,4
0.30331066,-0.03542835,0
0.22781615,-0.04675115,0
0.1348523,-0.034622364,4
0.47346005,-0.09486068,1
0.29493666,-0.11934063,1
0.3969837,-0.24512704,1
0.3557231,-0.22036323,5
0.5050532,-0.23931296,0
0.21993016,0.28935537,2
0.3742346,-0.099125884,1
0.457027,-0.2567734,1
0.2571934,-0.11380558,0
0.27040794,-0.15602104,4
0.44284096,-0.16885974,1
0.3550245,-0.13953018,1
0.26815364,-0.14684159,1
0.3382798,-0.124743365,1
0.34844694,-0.12522905,5
0.262747,-0.08260269,5
0.28865328,-0.16932157,5
0.2760964,0.0933579,4
0.16015546,0.10761304,4
0.18300185,0.064034894,4
0.2948467,0.08118737,1
0.18092257,-0.07365893,0
0.18181664,0.027553784,4
0.18585403,0.032585092,4
0.28880468,-0.12657663,1
0.21302482,-0.022574605,4
0.37892017,0.009058054,1
0.44379395,-0.25610954,5
0.23759146,-0.17749156,1
0.37939692,-0.11655786,4
0.48487085,-0.09449167,1
0.39727953,-0.22875133,1
0.35562408,-0.09212505,0
0.35190699,-0.24410836,1
0.23477323,-0.098112084,4
0.28458,-0.11743507,0
0.14013852,-0.0658172,4
0.39601952,-0.19849907,1
0.37673843,-0.0472603,4
0.34041408,0.070342764,1
0.3430682,0.00054194237,5
0.3544708,0.00806697,1
0.43149003,-0.20039001,1
0.44524705,-0.18112972,1
0.27121177,0.10157948,0
0.124980435,-0.018906284,4
0.29505095,-0.015660591,4
0.29853937,-0.13726322,4
0.33307472,0.3100738,2
0.33742648,-0.045089774,1
0.38225096,-0.16654775,1
0.4638159,-0.20854664,1
0.54850954,-0.32567197,5
0.16696921,-0.07290192,4
0.26091257,-0.0356828,0
0.16785273,0.25537902,2
0.27121952,-0.012849801,4
0.14809662,-0.058679596,4
0.37332907,-0.1793606,4
0.32049346,-0.029565152,1
0.28771493,0.1389173,1
0.40633625,-0.042028345,0
0.22352844,0.064286284,0
0.36626515,-0.19670065,1
0.16617765,0.088427946,4
0.526645,-0.30268243,1
0.44067857,-0.13082339,1
0.30426836,-0.06763042,0
0.28569993,0.047512192,4
0.19053276,0.33250296,4
0.20616348,-0.04631717,4
0.26888633,-0.023862515,0
0.37973675,0.14837445,1
0.37716645,-0.13796075,0
0.3934583,0.11080421,1
0.39450103,-0.14215475,1
0.2321139,-0.062318675,1
0.4445745,-0.15523165,1
0.5192723,-0.044997893,1
0.28691602,0.13727014,4
0.15055935,-0.041498203,0
0.38929936,-0.17479183,1
0.32857275,0.019882236,4
0.27443656,0.022327175,4
0.22146164,-0.039324656,4
0.3011246,-0.042040583,0
0.50546646,-0.15417668,1
0.5087409,-0.3016289,1
